dataset;num_classes;arch;;method;;;runname;trg_set_size;thresh;embed_type;loadmodel;;;;epoch_w_wm;epochs_wo_wm;batch_size;wm_batch_size;lr;lradj;optim;sched;;cuda;;trg_set_sizes;save_results;test_acc;wm_acc;;;;valid_loss;epoch;;embed_time
cifar10;10;densenet;True;WeaknessIntoStrength;;False;wm_weakness_pretrained_densenet_200_100_SGD_CosineAnnealingLR_20;20;0.05;pretrained;train_model_NEW_densenet_64_200_earlypatience_40_sgd_cosine;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;100;cuda:0;;[20];save_results_weakness_all_models.csv;92.228;100;True;0;7;0.295609903;192;0;18159.82576
cifar10;10;densenet;True;WeaknessIntoStrength;;False;wm_weakness_pretrained_densenet_200_100_SGD_CosineAnnealingLR_25;25;0.05;pretrained;train_model_NEW_densenet_64_200_earlypatience_40_sgd_cosine;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;100;cuda:1;;[25, 50, 100];save_results_weakness_all_models.csv;92.989;100;True;0;9;0.289558715;190;0;17830.33114
cifar10;10;densenet;True;WeaknessIntoStrength;;False;wm_weakness_pretrained_densenet_200_100_SGD_CosineAnnealingLR_50;50;0.05;pretrained;train_model_NEW_densenet_64_200_earlypatience_40_sgd_cosine;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;100;cuda:1;;[25, 50, 100];save_results_weakness_all_models.csv;92.408;100;True;0;20;0.281923213;189;0;17885.21208
cifar10;10;densenet;True;WeaknessIntoStrength;;False;wm_weakness_pretrained_densenet_200_100_SGD_CosineAnnealingLR_100;100;0.05;pretrained;train_model_NEW_densenet_64_200_earlypatience_40_sgd_cosine;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;100;cuda:1;;[25, 50, 100];save_results_weakness_all_models.csv;92.668;100;True;0;43;0.296251204;198;0;18034.63267
cifar10;10;densenet;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_densenet_200_100_SGD_CosineAnnealingLR_20;20;0.05;fromscratch;;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;100;cuda:0;;[20];save_results_weakness_all_models.csv;93.309;100;True;0;7;0.285588764;196;0;17888.47604
cifar10;10;densenet;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_densenet_200_100_SGD_CosineAnnealingLR_25;25;0.05;fromscratch;;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;100;cuda:1;;[25, 50, 100];save_results_weakness_all_models.csv;93.45;100;True;0;9;0.246498028;197;0;17805.83439
cifar10;10;densenet;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_densenet_200_100_SGD_CosineAnnealingLR_50;50;0.05;fromscratch;;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;100;cuda:1;;[25, 50, 100];save_results_weakness_all_models.csv;93.51;100;True;0;20;0.258747631;181;0;18194.9548
cifar10;10;densenet;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_densenet_200_100_SGD_CosineAnnealingLR_100;100;0.05;fromscratch;;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;100;cuda:1;;[25, 50, 100];save_results_weakness_all_models.csv;94.04;100;True;0;43;0.267546602;190;0;18558.37029
cifar10;10;resnet18;True;WeaknessIntoStrength;;False;wm_weakness_pretrained_resnet18_192_100_SGD_CosineAnnealingLR_20;20;0.05;pretrained;train_model_resnet18_64_200_earlystopping_sgd_cosine;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;100;cuda:1;;[20, 100];save_results_weakness_all_models.csv;94.772;100;True;0;7;0.225519836;191;0;8303.854593
cifar10;10;resnet18;True;WeaknessIntoStrength;;False;wm_weakness_pretrained_resnet18_192_100_SGD_CosineAnnealingLR_100;100;0.05;pretrained;train_model_resnet18_64_200_earlystopping_sgd_cosine;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;100;cuda:1;;[20, 100];save_results_weakness_all_models.csv;94.611;100;True;0;43;0.218850642;191;0;8869.776634
cifar10;10;resnet18;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_resnet18_192_100_SGD_CosineAnnealingLR_20;20;0.05;fromscratch;;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;100;cuda:1;;[20, 100];save_results_weakness_all_models.csv;94.641;100;True;0;7;0.212749497;186;0;8322.877783
cifar10;10;resnet18;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_resnet18_192_100_SGD_CosineAnnealingLR_100;100;0.05;fromscratch;;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;100;cuda:1;;[20, 100];save_results_weakness_all_models.csv;94.942;100;True;0;43;0.210823493;191;0;8925.905056
cifar10;10;resnet34;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_resnet34_195_100_SGD_CosineAnnealingLR_20;20;0.05;fromscratch;;0.1;100;6;195;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;100;cuda:3;;[20, 100];save_results_weakness_all_models.csv;95.012;100;True;0;7;0.209262055;192;0;14067.87687
cifar10;10;resnet34;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_resnet34_195_100_SGD_CosineAnnealingLR_100;100;0.05;fromscratch;;0.1;100;6;195;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;100;cuda:3;;[20, 100];save_results_weakness_all_models.csv;94.972;100;True;0;43;0.204604343;195;0;14560.78081
mnist;10;simplenet_mnist;True;WeaknessIntoStrength;;False;wm_weakness_pretrained_simplenet_mnist_24_100_SGD_MultiStepLR_20;20;0.05;pretrained;train_model_simplenet_64_200_earlystopping_sgd_multistep;0.1;100;6;24;0;64;32;0.1;0.1;SGD;MultiStepLR;100;cuda:3;;[20, 100];save_results_weakness_all_models.csv;99.519;100;True;0;7;0.016830543;22;0;770.2083826
mnist;10;simplenet_mnist;True;WeaknessIntoStrength;;False;wm_weakness_pretrained_simplenet_mnist_24_100_SGD_MultiStepLR_100;100;0.05;pretrained;train_model_simplenet_64_200_earlystopping_sgd_multistep;0.1;100;6;24;0;64;32;0.1;0.1;SGD;MultiStepLR;100;cuda:3;;[20, 100];save_results_weakness_all_models.csv;99.649;100;True;0;43;0.017344626;24;0;853.2545719
mnist;10;simplenet_mnist;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_simplenet_mnist_24_100_SGD_MultiStepLR_20;20;0.05;fromscratch;;0.1;100;6;24;0;64;32;0.1;0.1;SGD;MultiStepLR;100;cuda:3;;[20, 100];save_results_weakness_all_models.csv;99.589;100;True;0;7;0.015159394;24;0;765.3743613
mnist;10;simplenet_mnist;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_simplenet_mnist_24_100_SGD_MultiStepLR_100;100;0.05;fromscratch;;0.1;100;6;24;0;64;32;0.1;0.1;SGD;MultiStepLR;100;cuda:3;;[20, 100];save_results_weakness_all_models.csv;99.469;100;True;0;43;0.01509735;21;0;852.0513659
mnist;10;lenet1;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_lenet1_48_100_ADAM_MultiStepLR_20;20;0.05;fromscratch;;0.1;100;6;48;0;64;32;0.001;0.1;ADAM;MultiStepLR;100;cuda:3;;[20, 100];save_results_weakness_all_models.csv;98.708;100;True;0;7;0.051334033;22;0;305.5418687
mnist;10;lenet1;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_lenet1_48_100_ADAM_MultiStepLR_100;100;0.05;fromscratch;;0.1;100;6;48;0;64;32;0.001;0.1;ADAM;MultiStepLR;100;cuda:3;;[20, 100];save_results_weakness_all_models.csv;98.478;99;True;1;43;0.087467483;21;0;390.7379897
mnist;10;lenet3;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_lenet3_48_100_ADAM_MultiStepLR_20;20;0.05;fromscratch;;0.1;100;6;48;0;64;32;0.001;0.1;ADAM;MultiStepLR;100;cuda:3;;[20, 100];save_results_weakness_all_models.csv;98.948;100;True;0;7;0.038775876;15;0;313.0694182
mnist;10;lenet3;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_lenet3_48_100_ADAM_MultiStepLR_100;100;0.05;fromscratch;;0.1;100;6;48;0;64;32;0.001;0.1;ADAM;MultiStepLR;100;cuda:3;;[20, 100];save_results_weakness_all_models.csv;98.938;100;True;0;43;0.055639549;25;0;401.3574142
mnist;10;lenet5;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_lenet5_48_100_ADAM_MultiStepLR_20;20;0.05;fromscratch;;0.1;100;6;48;0;64;32;0.001;0.1;ADAM;MultiStepLR;100;cuda:3;;[20, 100];save_results_weakness_all_models.csv;98.468;100;True;0;7;0.045267689;6;0;321.8551254
mnist;10;lenet5;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_lenet5_48_100_ADAM_MultiStepLR_100;100;0.05;fromscratch;;0.1;100;6;48;0;64;32;0.001;0.1;ADAM;MultiStepLR;100;cuda:3;;[20, 100];save_results_weakness_all_models.csv;98.948;100;True;0;43;0.043731001;21;0;407.4463272
cifar10;10;resnet50;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_resnet50_195_100_SGD_CosineAnnealingLR_20;20;0.05;fromscratch;;0.1;100;6;195;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;100;cuda:3;;[20, 100];save_results_weakness_all_models.csv;94.361;100;True;0;7;0.243152789;194;0;20227.57472
cifar10;10;resnet50;True;WeaknessIntoStrength;;False;wm_weakness_fromscratch_resnet50_195_100_SGD_CosineAnnealingLR_100;100;0.05;fromscratch;;0.1;100;6;195;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;100;cuda:3;;[20, 100];save_results_weakness_all_models.csv;94.121;100;True;0;43;0.249184509;195;0;22589.51821