dataset;num_classes;arch;attack_type;pruning_rate;lr;batch_size;wm_batch_size;num_epochs;trg_set_size;loadmodel;save_file;wm_type;method;cuda;test_acc;wm_acc;attack_time
cifar10;10;densenet;pruning;0.1;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:1;94.09054565;100;0.150295973
cifar10;10;densenet;pruning;0.1;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.09054565;100;0.127092123
cifar10;10;densenet;pruning;0.2;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.09054565;100;0.081616879
cifar10;10;densenet;pruning;0.3;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.09054565;100;0.094347239
cifar10;10;densenet;pruning;0.4;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.09054565;100;0.086884737
cifar10;10;densenet;pruning;0.5;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.09054565;100;0.086434364
cifar10;10;densenet;pruning;0.6;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.10056305;100;0.109717131
cifar10;10;densenet;pruning;0.7;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.1306076;100;0.086633205
cifar10;10;densenet;pruning;0.8;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;93.57972717;90;0.090954065
cifar10;10;densenet;pruning;0.9;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;71.73477936;15;0.091917992
cifar10;10;resnet18;pruning;0.1;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.94190979;100;0.134806156
cifar10;10;resnet18;pruning;0.2;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.9318924;100;0.136011124
cifar10;10;resnet18;pruning;0.3;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.9118576;100;0.158216953
cifar10;10;resnet18;pruning;0.4;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.921875;100;0.144423246
cifar10;10;resnet18;pruning;0.5;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.88181305;100;0.151087761
cifar10;10;resnet18;pruning;0.6;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.65144348;100;0.146956682
cifar10;10;resnet18;pruning;0.7;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.03044891;100;0.161602497
cifar10;10;resnet18;pruning;0.8;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;80.68910217;75;0.155502319
cifar10;10;resnet18;pruning;0.9;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;13.53165054;10;0.153441906
cifar10;10;resnet34;pruning;0.1;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.11218262;100;0.242928267
cifar10;10;resnet34;pruning;0.2;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.11218262;100;0.229995489
cifar10;10;resnet34;pruning;0.3;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.11218262;100;0.267611504
cifar10;10;resnet34;pruning;0.4;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.11218262;100;0.251049519
cifar10;10;resnet34;pruning;0.5;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.14222717;100;0.300800562
cifar10;10;resnet34;pruning;0.6;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.14222717;100;0.297360897
cifar10;10;resnet34;pruning;0.7;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.02203369;100;0.327831984
cifar10;10;resnet34;pruning;0.8;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.8317337;100;0.266650915
cifar10;10;resnet34;pruning;0.9;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;86.6286087;80;0.31100297
cifar10;10;densenet;pruning;0.1;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.27083588;100;0.078529835
cifar10;10;densenet;pruning;0.2;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.27083588;100;0.075000048
cifar10;10;densenet;pruning;0.3;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.27083588;100;0.09025836
cifar10;10;densenet;pruning;0.4;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.27083588;100;0.11708045
cifar10;10;densenet;pruning;0.5;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.27083588;100;0.125720978
cifar10;10;densenet;pruning;0.6;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.26081848;100;0.077884197
cifar10;10;densenet;pruning;0.7;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.2307663;100;0.105634451
cifar10;10;densenet;pruning;0.8;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;93.7399826;100;0.088541508
cifar10;10;densenet;pruning;0.9;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;64.38301086;8;0.107775927
cifar10;10;resnet18;pruning;0.1;0.1;64;32;1;100;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.02203369;100;0.136693716
cifar10;10;resnet18;pruning;0.2;0.1;64;32;1;100;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.04206848;100;0.145415306
cifar10;10;resnet18;pruning;0.3;0.1;64;32;1;100;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.0120163;100;0.148334503
cifar10;10;resnet18;pruning;0.4;0.1;64;32;1;100;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.90184021;100;0.149731159
cifar10;10;resnet18;pruning;0.5;0.1;64;32;1;100;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.75160217;100;0.151340723
cifar10;10;resnet18;pruning;0.6;0.1;64;32;1;100;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;91.90705109;100;0.158827066
cifar10;10;resnet18;pruning;0.7;0.1;64;32;1;100;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;74.75961304;99;0.154019356
cifar10;10;resnet18;pruning;0.8;0.1;64;32;1;100;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;54.18669891;73;0.176292658
cifar10;10;resnet18;pruning;0.9;0.1;64;32;1;100;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;44.1506424;31;0.150756836
cifar10;10;resnet34;pruning;0.1;0.1;64;32;1;100;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.20232391;100;0.224409342
cifar10;10;resnet34;pruning;0.2;0.1;64;32;1;100;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.20232391;100;0.213173628
cifar10;10;resnet34;pruning;0.3;0.1;64;32;1;100;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.20232391;100;0.23964572
cifar10;10;resnet34;pruning;0.4;0.1;64;32;1;100;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.19230652;100;0.244484425
cifar10;10;resnet34;pruning;0.5;0.1;64;32;1;100;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.21234131;100;0.275072813
cifar10;10;resnet34;pruning;0.6;0.1;64;32;1;100;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.16226196;100;0.268467665
cifar10;10;resnet34;pruning;0.7;0.1;64;32;1;100;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.18228912;100;0.274114847
cifar10;10;resnet34;pruning;0.8;0.1;64;32;1;100;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.88181305;100;0.252079964
cifar10;10;resnet34;pruning;0.9;0.1;64;32;1;100;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;53.04487228;35;0.279394865
cifar10;10;densenet;pruning;0.1;0.1;64;32;1;500;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.11058044;100;0.111386061
cifar10;10;densenet;pruning;0.2;0.1;64;32;1;500;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.11058044;100;0.092406273
cifar10;10;densenet;pruning;0.3;0.1;64;32;1;500;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.11058044;100;0.085483789
cifar10;10;densenet;pruning;0.4;0.1;64;32;1;500;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.11058044;100;0.114083767
cifar10;10;densenet;pruning;0.5;0.1;64;32;1;500;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.11058044;100;0.105278015
cifar10;10;densenet;pruning;0.6;0.1;64;32;1;500;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.16065979;100;0.121505499
cifar10;10;densenet;pruning;0.7;0.1;64;32;1;500;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.20072174;100;0.0848279
cifar10;10;densenet;pruning;0.8;0.1;64;32;1;500;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;93.43950653;99;0.102671146
cifar10;10;densenet;pruning;0.9;0.1;64;32;1;500;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;63.20112228;10.60000038;0.090146303
cifar10;10;resnet18;pruning;0.1;0.1;64;32;1;500;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.00200653;100;0.144707203
cifar10;10;resnet18;pruning;0.2;0.1;64;32;1;500;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.00200653;100;0.150426865
cifar10;10;resnet18;pruning;0.3;0.1;64;32;1;500;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.99198914;100;0.143075705
cifar10;10;resnet18;pruning;0.4;0.1;64;32;1;500;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.99198914;100;0.15453577
cifar10;10;resnet18;pruning;0.5;0.1;64;32;1;500;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.9118576;100;0.149396658
cifar10;10;resnet18;pruning;0.6;0.1;64;32;1;500;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;92.12740326;100;0.150250196
cifar10;10;resnet18;pruning;0.7;0.1;64;32;1;500;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;63.19110489;100;0.164416313
cifar10;10;resnet18;pruning;0.8;0.1;64;32;1;500;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;23.74799728;98.40000153;0.158195257
cifar10;10;resnet18;pruning;0.9;0.1;64;32;1;500;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;30.32852554;35;0.166949987
cifar10;10;resnet34;pruning;0.1;0.1;64;32;1;500;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.921875;100;0.244187355
cifar10;10;resnet34;pruning;0.2;0.1;64;32;1;500;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.921875;100;0.250500679
cifar10;10;resnet34;pruning;0.3;0.1;64;32;1;500;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.921875;100;0.256933928
cifar10;10;resnet34;pruning;0.4;0.1;64;32;1;500;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.90184021;100;0.249894142
cifar10;10;resnet34;pruning;0.5;0.1;64;32;1;500;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.921875;100;0.282289028
cifar10;10;resnet34;pruning;0.6;0.1;64;32;1;500;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.87179565;100;0.294305801
cifar10;10;resnet34;pruning;0.7;0.1;64;32;1;500;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.78165436;100;0.273705482
cifar10;10;resnet34;pruning;0.8;0.1;64;32;1;500;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.67147064;92;0.270358086
cifar10;10;resnet34;pruning;0.9;0.1;64;32;1;500;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;content;ProtectingIPP;cuda:0;88.55168152;11;0.263407946
cifar10;10;resnet50;pruning;0.1;0.1;64;32;1;20;wm_protecting_content_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;93.62980652;100;0.266799688
cifar10;10;resnet50;pruning;0.2;0.1;64;32;1;20;wm_protecting_content_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;93.62980652;100;0.290809393
cifar10;10;resnet50;pruning;0.3;0.1;64;32;1;20;wm_protecting_content_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;93.62980652;100;0.277543545
cifar10;10;resnet50;pruning;0.4;0.1;64;32;1;20;wm_protecting_content_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;93.62980652;100;0.320255041
cifar10;10;resnet50;pruning;0.5;0.1;64;32;1;20;wm_protecting_content_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;93.63982391;100;0.294121742
cifar10;10;resnet50;pruning;0.6;0.1;64;32;1;20;wm_protecting_content_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;93.56970978;100;0.285920382
