dataset;num_classes;arch;attack_type;pruning_rates;lr;lr_adj;batch_size;wm_batch_size;num_epochs;patience;optim;sched;trg_set_size;loadmodel;save_file;wm_type;method;eps;pattern_size;;;;cuda;pruning_rate;test_acc;wm_acc;attack_time;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.1;94.10056305;100;0.077707052;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.2;94.10056305;100;0.083227158;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.3;94.10056305;100;0.07103157;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.4;94.10056305;100;0.066611767;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.5;94.10056305;100;0.078059435;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.6;94.11058044;100;0.077156305;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.7;94.08052826;100;0.08336997;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.8;93.15905762;100;0.080181122;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.9;40.15424728;17;0.082860947;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.1;94.27083588;100;0.077528238;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.2;94.27083588;100;0.065957785;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.3;94.27083588;100;0.121094465;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.4;94.27083588;100;0.079465866;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.5;94.27083588;100;0.070379019;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.6;94.28084564;100;0.084769249;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.7;94.26081848;100;0.082651854;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.8;93.64984131;100;0.083277225;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.9;71.95513153;23;0.077441931;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.1;94.49118805;100;0.129868984;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.2;94.49118805;100;0.067427635;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.3;94.49118805;100;0.070565224;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.4;94.49118805;100;0.109164;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.5;94.49118805;100;0.066715717;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.6;94.50120544;100;0.071563959;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.7;94.59134674;100;0.073126078;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.8;93.89022064;100;0.067457914;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_densenet_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.9;78.18509674;20;0.124594927;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.1;94.921875;100;0.142630816;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.2;94.921875;100;0.112315416;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.3;94.87179565;100;0.113395929;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.4;94.82171631;100;0.126843214;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.5;94.72155762;100;0.118695498;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.6;93.55969238;100;0.119122267;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.7;81.37019348;96;0.122625351;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.8;62.2996788;63;0.129109144;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.9;10.11618614;11;0.127931356;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.1;94.5212326;100;0.139696121;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.2;94.50120544;100;0.124501944;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.3;94.5212326;100;0.117336273;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.4;94.47115326;100;0.125902414;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.5;94.34094238;100;0.124741077;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.6;93.62980652;100;0.124215364;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.7;86.40825653;100;0.123347759;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.8;50.12019348;59;0.12795043;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.9;37.05929565;24;0.130434513;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.1;95.09214783;100;0.141455173;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.2;95.09214783;100;0.131458521;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.3;95.10216522;100;0.121660948;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.4;95.05208588;100;0.127679586;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.5;94.9118576;100;0.120229006;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.6;94.50120544;100;0.129852533;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.7;92.92868805;100;0.126992702;;;;;;;;;;;;;;;;;;;;;;;;;;;
