arch;method;trg_set_size;pruning_rate;test_acc;wm_acc;;20;;100;;500;
densenet;ProtectingIP-pattern;20;0.8;93.57972717;;;90;0.8;100;0.8;99;0.8
resnet18;ProtectingIP-pattern;20;0.7;94.03044891;;;100;0.7;100;0.6;100;0.6
resnet34;ProtectingIP-pattern;20;0.8;94.8317337;;;100;0.8;100;0.8;92;0.8
resnet50;ProtectingIP-pattern;20;0.8;93.12900543;;;100;0.8;100;0.8;100;0.8
simplenet_mnist;ProtectingIP-pattern;12;0.8;96.17388153;100;;;;;;;
simplenet_mnist;ProtectingIP-pattern;24;0.8;98.47756195;100;;;;;;;
simplenet_mnist;ProtectingIP-pattern;120;0.7;98.046875;100;;;;;;;
simplenet_mnist;ProtectingIP-pattern;600;0.7;98.02684021;100;;;;;;;
lenet1;ProtectingIP-pattern;24;0.5;97.10536957;87.5;;;;;;;
lenet1;ProtectingIP-pattern;120;0.5;95.28245544;69.16666412;;;;;;;
lenet1;ProtectingIP-pattern;600;0.3;94.95191956;79.83333588;;;;;;;
lenet3;ProtectingIP-pattern;24;0.8;96.71474457;87.5;;;;;;;
lenet3;ProtectingIP-pattern;120;0.8;95.7131424;80;;;;;;;
lenet3;ProtectingIP-pattern;600;0.8;95.72315979;58.5;;;;;;;
lenet5;ProtectingIP-pattern;24;0.8;95.75320435;83.33333588;;;;;;;
lenet5;ProtectingIP-pattern;120;0.7;95.84334564;89.16666412;;;;;;;
lenet5;ProtectingIP-pattern;600;0.6;96.79486847;90;;;;; ;;
densenet;ProtectingIP-noise;20;0.8;92.79847717;95;;;;;;;
densenet;ProtectingIP-noise;100;0.8;92.9787674;98;;;;;;;
densenet;ProtectingIP-noise;500;0.8;93.09896088;96.80000305;;;;;;;
resnet18;ProtectingIP-noise;20;0.7;94.30088043;100;;;;;;;
resnet18;ProtectingIP-noise;100;0.7;94.31089783;100;;;;;;;
resnet18;ProtectingIP-noise;500;0.5;94.5212326;100;;;;;;;
resnet34;ProtectingIP-noise;20;0.8;94.66146088;100;;;;;;;
resnet34;ProtectingIP-noise;100;0.8;94.57131195;100;;;;;;;
resnet34;ProtectingIP-noise;500;0.8;93.46955109;100;;;;;;;
resnet50;ProtectingIP-noise;20;0.8;93.94030762;100;;;;;;;
resnet50;ProtectingIP-noise;100;0.9;90.18429565;94;;;;;;;
resnet50;ProtectingIP-noise;500;0.8;93.67988586;100;;;;;;;
simplenet_mnist;ProtectingIP-noise;12;0.8;99.19871521;100;;;;;;;
simplenet_mnist;ProtectingIP-noise;24;0.7;99.52924347;100;;;;;;;
simplenet_mnist;ProtectingIP-noise;120;0.8;97.49599457;100;;;;;;;
simplenet_mnist;ProtectingIP-noise;600;0.8;97.29566956;100;;;;;;;
lenet1;ProtectingIP-noise;24;0.6;97.60617065;100;;;;;;;
lenet1;ProtectingIP-noise;120;0.7;95.59294891;63.33333206;;;;;;;
lenet1;ProtectingIP-noise;600;0.6;96.05368805;53.5;;;;;;;
lenet3;ProtectingIP-noise;24;0.8;97.07531738;100;;;;;;;
lenet3;ProtectingIP-noise;120;0.8;97.02523804;98.33333588;;;;;;;
lenet3;ProtectingIP-noise;600;0.7;96.61458588;72.33333588;;;;;;;
lenet5;ProtectingIP-noise;24;0.8;97.33573914;100;;;;;;;
lenet5;ProtectingIP-noise;120;0.7;97.50601196;91.66666412;;;;;;;
lenet5;ProtectingIP-noise;600;0.7;96.7848587;84;;;;;;;
densenet;ProtectingIP-OOD;20;0.8;93.15905762;100;;;;;;;
densenet;ProtectingIP-OOD;100;0.8;93.72996521;100;;;;;;;
densenet;ProtectingIP-OOD;500;0.8;92.88861847;17.60000038;;;;;;;
resnet18;ProtectingIP-OOD;20;0.8;92.24759674;100;;;;;;;
resnet18;ProtectingIP-OOD;100;0.7;94.26081848;100;;;;;;;
resnet18;ProtectingIP-OOD;500;0.6;93.81009674;100;;;;;;;
resnet34;ProtectingIP-OOD;20;0.8;93.71995544;100;;;;;;;
resnet34;ProtectingIP-OOD;100;0.8;95.17227936;100;;;;;;;
resnet34;ProtectingIP-OOD;500;0.8;94.49118805;100;;;;;;;
resnet50;ProtectingIP-OOD;20;0.8;93.50961304;100;;;;;;;
resnet50;ProtectingIP-OOD;100;0.9;91.66666412;99;;;;;;;
resnet50;ProtectingIP-OOD;500;0.8;93.06890869;98.80000305;;;;;;;
simplenet_mnist;ProtectingIP-OOD;12;0.8;98.93830109;100;;;;;;;
simplenet_mnist;ProtectingIP-OOD;24;0.8;98.5276413;100;;;;;;;
simplenet_mnist;ProtectingIP-OOD;120;0.8;98.38742065;100;;;;;;;
simplenet_mnist;ProtectingIP-OOD;600;0.7;98.8381424;100;;;;;;;
lenet1;ProtectingIP-OOD;24;0.5;96.92507935;79.16666412;;;;;;;
lenet1;ProtectingIP-OOD;120;0.6;95.10216522;74.16666412;;;;;;;
lenet1;ProtectingIP-OOD;600;0.5;96.0837326;41.66666794;;;;;;;
lenet3;ProtectingIP-OOD;24;0.8;97.45593262;95.83333588;;;;;;;
lenet3;ProtectingIP-OOD;120;0.7;97.07531738;90;;;;;;;
lenet3;ProtectingIP-OOD;600;0.7;96.92507935;88.66666412;;;;;;;
lenet5;ProtectingIP-OOD;24;0.8;97.13541412;91.66666412;;;;;;;
lenet5;ProtectingIP-OOD;120;0.8;96.60456848;75;;;;;;;
lenet5;ProtectingIP-OOD;600;0.7;96.51441956;70.83333588;;;;;;;
densenet;WeaknessIntoStrength;20;0.8;92.84855652;100;;;;;;;
densenet;WeaknessIntoStrength;100;0.8;93.67988586;100;;;;;;;
resnet18;WeaknessIntoStrength;20;0.7;93.72996521;100;;;;;;;
resnet18;WeaknessIntoStrength;100;0.7;93.64984131;100;;;;;;;
resnet34;WeaknessIntoStrength;20;0.8;94.53125;100;;;;;;;
resnet34;WeaknessIntoStrength;100;0.8;92.10736847;100;;;;;;;
resnet50;WeaknessIntoStrength;20;0.8;94.04046631;100;;;;;;;
resnet50;WeaknessIntoStrength;100;0.9;92.77844238;100;;;;;;;
simplenet_mnist;WeaknessIntoStrength;20;0.8;98.74799347;100;;;;;;;
simplenet_mnist;WeaknessIntoStrength;100;0.8;99.34896088;100;;;;;;;
lenet1;WeaknessIntoStrength;20;0.6;96.24398804;45;;;;;;;
lenet1;WeaknessIntoStrength;100;0.5;96.04367065;56;;;;;;;
lenet3;WeaknessIntoStrength;20;0.9;98.60777283;65;;;;;;;
lenet3;WeaknessIntoStrength;100;0.9;96.91506195;73;;;;;;;
lenet5;WeaknessIntoStrength;20;0.9;98.4274826;85;;;;;;;
lenet5;WeaknessIntoStrength;100;0.9;96.99519348;57;;;;;;;
densenet;PiracyResistant;20;0.8;93.62980652;100;;;;;;;
densenet;PiracyResistant;100;0.8;93.46955109;100;;;;;;;
densenet;PiracyResistant;500;0.8;93.81009674;100;;;;;;;
resnet18;PiracyResistant;20;0.8;91.90705109;75;;;;;;;
resnet18;PiracyResistant;100;0.8;91.3161087;100;;;;;;;
resnet18;PiracyResistant;500;0.8;92.76843262;100;;;;;;;
resnet34;PiracyResistant;20;0.9;92.01722717;100;;;;;;;
resnet34;PiracyResistant;100;0.8;94.11058044;100;;;;;;;
resnet34;PiracyResistant;500;0.8;94.64142609;100;;;;;;;
resnet50;PiracyResistant;20;0.9;91.35617065;25;;;;;;;
resnet50;PiracyResistant;100;0.9;91.71674347;98;;;;;;;
resnet50;PiracyResistant;500;0.9;92.38781738;85.19999695;;;;;;;
simplenet_mnist;PiracyResistant;12;0.8;97.87660217;100;;;;;;;
simplenet_mnist;PiracyResistant;24;0.7;99.54927826;100;;;;;;;
simplenet_mnist;PiracyResistant;120;0.7;99.46915436;100;;;;;;;
simplenet_mnist;PiracyResistant;600;0.7;99.5192337;100;;;;;;;
lenet1;PiracyResistant;24;0.5;97.2756424;100;;;;;;;
lenet1;PiracyResistant;120;0.6;96.69470978;100;;;;;;;
lenet1;PiracyResistant;600;0.4;97.91666412;100;;;;;;;
lenet3;PiracyResistant;24;0.8;97.81650543;100;;;;;;;
lenet3;PiracyResistant;120;0.9;96.89503479;99.16666412;;;;;;;
lenet3;PiracyResistant;600;0.8;96.11378479;100;;;;;;;
lenet5;PiracyResistant;24;0.7;97.69631195;100;;;;;;;
lenet5;PiracyResistant;120;0.7;96.13381195;100;;;;;;;
lenet5;PiracyResistant;600;0.7;95.48277283;100;;;;;;;
densenet;FrontierStitching;20;0.9;92.52804565;100;;;;;;;
densenet;FrontierStitching;100;0.9;91.8870163;100;;;;;;;
densenet;FrontierStitching;500;0.9;91.53646088;98.59999847;;;;;;;
resnet18;FrontierStitching;20;0.8;93.87019348;100;;;;;;;
resnet18;FrontierStitching;100;0.8;94.20072174;100;;;;;;;
resnet18;FrontierStitching;500;0.8;93.98036957;100;;;;;;;
resnet34;FrontierStitching;20;0.9;92.25761414;100;;;;;;;
resnet34;FrontierStitching;100;0.9;94.921875;100;;;;;;;
resnet34;FrontierStitching;500;0.9;92.55809021;79.19999695;;;;;;;
resnet50;FrontierStitching;20;0.9;94.27083588;100;;;;;;;
resnet50;FrontierStitching;100;-;-;-;;;;;;;
resnet50;FrontierStitching;500;0.9;92.5881424;96.40000153;;;;;;;
simplenet_mnist;FrontierStitching;12;0.8;98.92828369;100;;;;;;;
simplenet_mnist;FrontierStitching;24;0.8;98.97836304;100;;;;;;;
simplenet_mnist;FrontierStitching;120;0.8;99.45913696;100;;;;;;;
simplenet_mnist;FrontierStitching;600;0.8;99.24879456;100;;;;;;;
lenet1;FrontierStitching;24;0.6;96.68469238;87.5;;;;;;;
lenet1;FrontierStitching;120;0.6;95.14222717;76.66666412;;;;;;;
lenet1;FrontierStitching;600;0.6;95.37259674;42.5;;;;;;;
lenet3;FrontierStitching;24;0.9;98.76802826;100;;;;;;;
lenet3;FrontierStitching;120;0.9;98.19711304;80.83333588;;;;;;;
lenet3;FrontierStitching;600;0.9;98.7379837;30.33333397;;;;;;;
lenet5;FrontierStitching;24;0.9;98.3473587;91.66666412;;;;;;;
lenet5;FrontierStitching;120;0.9;98.10697174;45.83333206;;;;;;;
lenet5;FrontierStitching;600;0.9;98.40745544;25.33333397;;;;;;;
densenet;WMEmbeddedSystems;20;0.8;92.72836304;100;;;;;;;
densenet;WMEmbeddedSystems;100;0.8;93.15905762;100;;;;;;;
densenet;WMEmbeddedSystems;500;0.8;92.9587326;98;;;;;;;
resnet18;WMEmbeddedSystems;20;0.7;94.58132935;100;;;;;;;
resnet18;WMEmbeddedSystems;100;0.6;93.55969238;100;;;;;;;
resnet18;WMEmbeddedSystems;500;0.6;93.60977936;100;;;;;;;
resnet34;WMEmbeddedSystems;20;0.8;94.31089783;100;;;;;;;
resnet34;WMEmbeddedSystems;100;0.8;93.98036957;100;;;;;;;
resnet34;WMEmbeddedSystems;500;0.7;94.28084564;100;;;;;;;
resnet50;WMEmbeddedSystems;20;0.9;91.25601196;95;;;;;;;
resnet50;WMEmbeddedSystems;100;0.8;94.01041412;100;;;;;;;
resnet50;WMEmbeddedSystems;500;0.9;90.43469238;99.40000153;;;;;;;
simplenet_mnist;WMEmbeddedSystems;12;0.8;97.48597717;100;;;;;;;
simplenet_mnist;WMEmbeddedSystems;24;0.8;98.67788696;100;;;;;;;
simplenet_mnist;WMEmbeddedSystems;120;0.8;96.19390869;97.5;;;;;;;
simplenet_mnist;WMEmbeddedSystems;600;0.6;99.04847717;100;;;;;;;
lenet1;WMEmbeddedSystems;24;0.7;98.01683044;79.16666412;;;;;;;
lenet1;WMEmbeddedSystems;120;0.7;97.61618805;83.33333588;;;;;;;
lenet1;WMEmbeddedSystems;600;0.5;97.14543152;82.16666412;;;;;;;
lenet3;WMEmbeddedSystems;24;0.9;99.06851196;100;;;;;;;
lenet3;WMEmbeddedSystems;120;0.9;98.11698914;61.66666794;;;;;;;
lenet3;WMEmbeddedSystems;600;0.8;97.96674347;82.5;;;;;;;
lenet5;WMEmbeddedSystems;24;0.9;99.04847717;100;;;;;;;
lenet5;WMEmbeddedSystems;120;0.9;98.61779022;96.66666412;;;;;;;
lenet5;WMEmbeddedSystems;600;0.8;98.4274826;94.16666412;;;;;;;
densenet;Blackmarks;20;0.9;91.20593262;85;;;;;;;
densenet;Blackmarks;100;0.9;90.19431305;99;;;;;;;
densenet;Blackmarks;500;-;-;-;;;;;;;
resnet18;Blackmarks;20;0.8;93.66986847;100;;;;;;;
resnet18;Blackmarks;100;0.8;94.11058044;100;;;;;;;
resnet18;Blackmarks;500;0.8;94.11058044;100;;;;;;;
resnet34;Blackmarks;20;0.8;93.96033478;100;;;;;;;
resnet34;Blackmarks;100;0.9;93.58974457;100;;;;;;;
resnet34;Blackmarks;500;0.9;94.01041412;77.40000153;;;;;;;
simplenet_mnist;Blackmarks;12;0.8;98.23718262;100;;;;;;;
simplenet_mnist;Blackmarks;24;0.8;98.84815979;95.83333588;;;;;;;
simplenet_mnist;Blackmarks;120;0.8;98.58773804;100;;;;;;;
simplenet_mnist;Blackmarks;600;0.8;98.87820435;100;;;;;;;
lenet1;Blackmarks;24;0.6;95.52283478;87.5;;;;;;;
lenet1;Blackmarks;120;0.6;97.44591522;84.16666412;;;;;;;
lenet1;Blackmarks;600;0.5;96.9651413;60.5;;;;;;;
lenet3;Blackmarks;24;0.9;98.76802826;100;;;;;;;
lenet3;Blackmarks;120;0.9;98.89823914;96.66666412;;;;;;;
lenet3;Blackmarks;600;0.9;98.19711304;89.83333588;;;;;;;
lenet5;Blackmarks;24;0.9;98.68790436;91.66666412;;;;;;;
lenet5;Blackmarks;120;0.9;98.3473587;88.33333588;;;;;;;
lenet5;Blackmarks;600;0.9;98.7379837;77.16666412;;;;;;;